time,ADX
2017-02-21,9.5542
2017-02-17,9.3368
2017-02-16,9.1614
2017-02-15,8.9830
2017-02-14,8.8017
2017-02-13,8.6581
2017-02-10,8.5305
2017-02-09,8.4394
2017-02-08,8.3729
2017-02-07,8.3558
2017-02-06,8.3187
2017-02-03,8.2917
2017-02-02,8.2642
2017-02-01,8.2845
2017-01-31,8.3020
2017-01-30,8.3543
2017-01-27,8.4042
2017-01-26,8.3614
2017-01-25,8.3078
2017-01-24,8.2579
2017-01-23,8.2566
2017-01-20,8.2996
2017-01-19,8.3115
2017-01-18,8.3326
2017-01-17,8.3345
2017-01-13,8.3364
2017-01-12,8.3040
2017-01-11,8.2935
2017-01-10,8.2569
2017-01-09,8.2019
2017-01-06,8.1580
2017-01-05,8.1133
2017-01-04,8.1013
2017-01-03,8.0847
2016-12-30,8.0962
2016-12-29,8.1413
2016-12-28,8.1466
2016-12-27,8.1347
2016-12-23,8.0566
2016-12-22,8.0085
2016-12-21,7.9614
2016-12-20,7.8781
2016-12-19,7.7895
2016-12-16,7.7147
2016-12-15,7.6386
2016-12-14,7.5612
2016-12-13,7.4825
2016-12-12,7.3470
2016-12-09,7.2475
2016-12-08,7.1585
2016-12-07,7.0916
2016-12-06,7.0533
2016-12-05,7.1053
2016-12-02,7.1692
2016-12-01,7.2726
2016-11-30,7.3777
2016-11-29,7.4453
2016-11-28,7.5260
2016-11-25,7.6004
2016-11-23,7.6558
2016-11-22,7.7396
2016-11-21,7.8248
2016-11-18,7.9308
2016-11-17,8.0636
2016-11-16,8.1927
2016-11-15,8.2955
2016-11-14,8.4000
2016-11-11,8.4757
2016-11-10,8.5349
2016-11-09,8.5951
2016-11-08,8.6165
2016-11-07,8.5589
2016-11-04,8.4465
2016-11-03,8.2042
2016-11-02,7.9614
2016-11-01,7.7372
2016-10-31,7.5192
2016-10-28,7.3728
2016-10-27,7.2239
2016-10-26,7.1100
2016-10-25,6.9889
2016-10-24,6.8955
2016-10-21,6.8151
2016-10-20,6.6877
2016-10-19,6.5676
2016-10-18,6.4590
2016-10-17,6.3335
2016-10-14,6.1731
2016-10-13,6.0336
2016-10-12,5.8503
2016-10-11,5.7142
2016-10-10,5.5758
2016-10-07,5.5288
2016-10-06,5.4670
2016-10-05,5.4210
2016-10-04,5.3893
2016-10-03,5.3570
2016-09-30,5.3574
2016-09-29,5.3631
2016-09-28,5.3601
2016-09-27,5.3770
2016-09-26,5.3561
2016-09-23,5.3454
2016-09-22,5.3927
2016-09-21,5.4629
2016-09-20,5.4846
2016-09-19,5.4569
2016-09-16,5.4288
2016-09-15,5.3752
2016-09-14,5.3206
2016-09-13,5.2302
2016-09-12,5.1393
2016-09-09,5.0469
2016-09-08,4.9771
2016-09-07,5.0581
2016-09-06,5.1420
2016-09-02,5.2268
2016-09-01,5.3075
2016-08-31,5.3527
2016-08-30,5.4120
2016-08-29,5.5010
2016-08-26,5.5914
2016-08-25,5.6834
2016-08-24,5.7535
